published,avg_sentiment,article_count,positive,negative,neutral,heat_score,high_volume
2026-03-02,-0.32505666666666666,60,8,30,22,0.25950283596063556,False
2026-03-03,-0.3775127272727273,55,6,30,19,0.07479519349304782,False
2026-03-04,-0.3143804347826087,46,8,23,15,-0.25767856294861013,False
2026-03-05,-0.2602621212121212,66,12,31,23,0.48115200692174087,False
2026-03-06,-0.41602941176470587,85,12,49,24,1.1830410482985745,False
2026-03-07,-0.4443074074074074,27,0,14,13,-0.9595676043254436,False
2026-03-08,-0.41054444444444443,18,1,9,8,-1.2920413607671015,False
2026-03-09,-0.39131975308641975,81,9,44,28,1.0352749343245042,False
2026-03-10,-0.2463625,48,4,19,25,-0.18379550596157504,False
2026-03-11,-0.1873265306122449,49,11,23,15,-0.14685397746805748,False
2026-03-12,-0.265362,50,10,26,14,-0.10991244897453994,False
2026-03-13,-0.4659602272727273,88,12,59,17,1.293865633779127,False
2026-03-14,-0.33752105263157894,19,2,10,7,-1.255099832273584,False
2026-03-15,-0.45370625,16,0,9,7,-1.3659244177541368,False
2026-03-16,-0.25710714285714287,56,6,24,26,0.11173672198656537,False
2026-03-17,-0.19217678571428573,56,11,25,20,0.11173672198656537,False
2026-03-18,-0.21606145833333334,96,11,38,47,1.5893978617272675,True
2026-03-19,-0.37908526315789476,95,13,54,28,1.55245633323375,True
2026-03-20,-0.3368855263157895,76,9,40,27,0.8505672918569164,False
2026-03-21,-0.23416111111111113,18,1,6,11,-1.2920413607671015,False
2026-03-22,-0.7225272727272727,11,0,9,2,-1.5506320602217245,False
2026-03-23,-0.4255507042253521,71,7,43,21,0.6658596493893286,False
2026-03-24,-0.3438516129032258,62,6,31,25,0.3333858929476707,False
2026-03-25,-0.07531224489795918,49,13,18,18,-0.14685397746805748,False
2026-03-26,-0.21961147540983605,61,14,28,19,0.2964443644541531,False
2026-03-27,-0.43693653846153846,52,3,29,20,-0.036029391987504836,False
2026-03-28,-0.32256923076923083,13,1,6,6,-1.4767490032346893,False
2026-03-29,-0.4792619047619047,21,3,15,3,-1.181216775286549,False
2026-03-30,-0.23499090909090908,66,10,26,30,0.48115200692174087,False
2026-03-31,-0.13049,60,16,23,21,0.25950283596063556,False
2026-04-01,-0.052575555555555556,45,10,12,23,-0.2946200914421277,False
2026-04-02,-0.24503,50,6,21,23,-0.10991244897453994,False
2026-04-03,-0.3726842105263158,38,3,21,14,-0.5532107908967505,False
2026-04-04,-0.27401818181818177,11,2,5,4,-1.5506320602217245,False
2026-04-05,-0.24356999999999998,10,0,3,7,-1.587573588715242,False
2026-04-06,-0.23004137931034482,58,12,28,18,0.1856197789736005,False
2026-04-07,-0.24542222222222224,45,9,22,14,-0.2946200914421277,False
2026-04-08,-0.08759245283018868,53,17,24,12,0.0009121365060127175,False
2026-04-09,-0.14293170731707316,41,10,18,13,-0.4423862054161979,False
2026-04-10,0.03467323943661972,71,28,23,20,0.6658596493893286,False
2026-04-11,-0.2965285714285714,7,0,3,4,-1.6983981741957948,False
2026-04-12,0.12863333333333332,6,3,2,1,-1.7353397026893123,False
2026-04-13,-0.2627028571428571,35,6,17,12,-0.6640353763773033,False
2026-04-14,0.00847234042553191,47,15,15,17,-0.2207370344550926,False
2026-04-15,-0.30475573770491804,61,9,32,20,0.2964443644541531,False
2026-04-16,-0.18771724137931037,29,8,14,7,-0.8856845473384085,False
2026-04-17,-0.06074150943396227,53,13,19,21,0.0009121365060127175,False
